Author / creator,Research batch,Corpus rows,Unresolved item,Coverage status
Boethius,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Booker T. Washington,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Brook Taylor,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Cajetan,"Classical, patristic, and medieval audit; Audited authors N–Z",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification | Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Carl Jung,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Carl Linnaeus,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Charles Baudelaire,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Charles Darwin,Audited authors A–F,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Charles De Koninck,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Charles-Augustin de Coulomb,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Christiaan Huygens,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Cicero,"Classical, patristic, and medieval audit; Audited authors G–M",16,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification | Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Claude Berthollet,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Claudio Monteverdi,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Clinton Davisson,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Council of Orange,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Council of Trent,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Daniel Bernoulli,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Daniel Fahrenheit,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Dante Alighieri,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
David Hume,Audited authors A–F,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Dmitri Mendeleev,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Edme Mariotte,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Edmund Husserl,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Edmund Spenser,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Edward Gibbon,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Elizabeth Bishop,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Emily Dickinson,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Epictetus,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Ernest Rutherford,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Ernst Mayr,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Erwin Schrödinger,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Euclid,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Euripides,"Classical, patristic, and medieval audit",14,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Flannery O’Connor,Audited authors A–F,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Fleeming Jenkin,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Francis Bacon,Audited authors A–F,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
François de La Rochefoucauld,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
François Jacob & Jacques Monod,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
François Viète,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Franz Schubert,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Frederick Douglass,Audited authors A–F,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Friedrich Engels,Audited authors A–F,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Friedrich Nietzsche,Early-modern and modern audit,15,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Fyodor Dostoevsky,Early-modern and modern audit,18,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
G. H. Hardy,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
G. W. F. Hegel,Audited authors G–M; Early-modern and modern audit,14,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained | Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Galen,"Classical, patristic, and medieval audit",6,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Galileo Galilei,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Gaunilo,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Geoffrey Chaucer,"Classical, patristic, and medieval audit",9,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
George Beadle & Edward Tatum,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
George Berkeley,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
George Eliot,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Giovanni Pierluigi da Palestrina,Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Gottfried Wilhelm Leibniz,Early-modern and modern audit,15,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Gregor Mendel,Audited authors G–M,4,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Gustave Flaubert,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Gwendolyn Brooks,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
"Hamilton, Jay, and Madison",Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Hans Christian Ørsted,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Hans Driesch,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Hans Jonas,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Hans Spemann,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Harold (identity unclear),Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Henrik Ibsen,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Herman Melville,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Hermann Minkowski,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Herodotus,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Homer,"Classical, patristic, and medieval audit",2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
Horace; Cicero,Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Igor Stravinsky,Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Immanuel Kant,Early-modern and modern audit,18,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Isaac Newton,Audited authors G–M,4,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
J.J. Thomson,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
J.L. Proust,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jacques Monod,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
James Baldwin,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
James Clerk Maxwell,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
James Joyce,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
James Watson & Francis Crick,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jane Austen,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jean de La Fontaine,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jean Racine,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jean-Antoine Nollet,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jean-Baptiste Lamarck,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jean-Henri Fabre,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Jean-Jacques Rousseau,Audited authors G–M,4,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Joel Sussman,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Johann Sebastian Bach,Audited authors G–M,1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
Johann Wolfgang von Goethe,Early-modern and modern audit,16,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
Johannes Kepler,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
John Dalton,Audited authors G–M,3,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
John Donne,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
John Henry Newman,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
John Keats; Gerard Manley Hopkins; Wallace Stevens,Audited authors G–M,2,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; work-level evidence preserved and scoped unresolved remainders retained
John Locke,Early-modern and modern audit,12,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
John Milton,Early-modern and modern audit,15,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 20 author corpora remain provisional after work-level review
John of Damascus,"Classical, patristic, and medieval audit",1,"Complete-extant-corpus verification remains open. Review the author’s corpus rows, edition records, PDF statuses, and scoped remainder notes.",Audited 2026-09-24; 37 authors remain provisional pending specialist complete-corpus verification
